Slice	Count	Total Area	Average Size	%Area	Mean	Circ.	Solidity
238	1	166444	166444	40.891	255	0.271	0.874
239	1	167068	167068	41.045	255	0.267	0.873
240	1	167319	167319	41.106	255	0.269	0.872
241	1	168173	168173	41.316	255	0.272	0.871
242	1	168079	168079	41.293	255	0.236	0.851
243	1	167282	167282	41.097	255	0.231	0.861
244	1	167202	167202	41.078	255	0.215	0.846
245	1	167328	167328	41.108	255	0.222	0.845
246	1	168711	168711	41.448	255	0.219	0.849
247	1	169157	169157	41.558	255	0.212	0.848
248	1	169508	169508	41.644	255	0.212	0.848
249	1	168709	168709	41.448	255	0.225	0.845
250	1	168459	168459	41.386	255	0.228	0.845
251	1	167214	167214	41.080	255	0.202	0.843
252	1	166519	166519	40.910	255	0.200	0.841
253	1	165644	165644	40.695	255	0.193	0.836
254	1	165425	165425	40.641	255	0.187	0.839
255	1	164525	164525	40.420	255	0.204	0.839
256	1	163142	163142	40.080	255	0.209	0.845
257	1	162119	162119	39.829	255	0.229	0.850
258	1	160302	160302	39.382	255	0.220	0.851
259	1	159647	159647	39.221	255	0.216	0.848
260	1	158852	158852	39.026	255	0.233	0.852
261	1	157292	157292	38.643	255	0.240	0.851
262	1	156577	156577	38.467	255	0.244	0.858
263	1	155173	155173	38.122	255	0.259	0.866
264	1	155519	155519	38.207	255	0.314	0.869
265	1	155073	155073	38.098	255	0.326	0.873
266	1	154878	154878	38.050	255	0.338	0.876
267	1	155067	155067	38.096	255	0.332	0.879
268	1	154949	154949	38.067	255	0.332	0.879
269	1	155497	155497	38.202	255	0.325	0.886
270	1	155891	155891	38.299	255	0.333	0.886
271	1	156003	156003	38.326	255	0.314	0.885
272	1	156582	156582	38.468	255	0.325	0.887
273	1	157866	157866	38.784	255	0.315	0.887
274	1	158680	158680	38.984	255	0.298	0.879
275	1	159221	159221	39.117	255	0.275	0.878
276	1	160889	160889	39.527	255	0.286	0.878
277	1	161853	161853	39.763	255	0.295	0.879
278	1	162717	162717	39.976	255	0.276	0.874
279	1	163542	163542	40.178	255	0.264	0.874
280	1	163945	163945	40.277	255	0.249	0.870
281	1	165992	165992	40.780	255	0.273	0.873
282	1	166117	166117	40.811	255	0.231	0.867
283	1	166903	166903	41.004	255	0.249	0.872
284	1	166326	166326	40.862	255	0.228	0.868
285	1	167397	167397	41.125	255	0.227	0.863
286	1	168267	168267	41.339	255	0.227	0.861
287	1	168514	168514	41.400	255	0.231	0.860
288	1	168754	168754	41.459	255	0.220	0.845
289	1	169795	169795	41.715	255	0.209	0.843
290	1	170464	170464	41.879	255	0.212	0.852
291	1	170953	170953	41.999	255	0.213	0.845
292	1	170988	170988	42.008	255	0.202	0.840
293	1	171204	171204	42.061	255	0.204	0.841
294	1	171434	171434	42.117	255	0.201	0.840
295	1	170704	170704	41.938	255	0.203	0.852
296	1	170193	170193	41.812	255	0.221	0.861
297	1	170009	170009	41.767	255	0.219	0.858
298	1	169549	169549	41.654	255	0.216	0.857
299	1	170265	170265	41.830	255	0.218	0.858
300	1	169514	169514	41.646	255	0.231	0.859
301	1	169684	169684	41.687	255	0.229	0.864
302	1	169534	169534	41.650	255	0.241	0.865
303	1	169038	169038	41.529	255	0.238	0.866
304	1	168995	168995	41.518	255	0.242	0.865
305	1	170032	170032	41.773	255	0.234	0.868
306	1	169646	169646	41.678	255	0.233	0.868
307	1	169452	169452	41.630	255	0.231	0.862
308	1	169878	169878	41.735	255	0.233	0.868
309	1	170290	170290	41.836	255	0.232	0.872
310	1	171104	171104	42.036	255	0.217	0.868
311	1	170115	170115	41.793	255	0.240	0.867
312	1	170534	170534	41.896	255	0.237	0.869
313	1	170748	170748	41.949	255	0.234	0.867
314	1	171471	171471	42.126	255	0.230	0.865
315	1	171100	171100	42.035	255	0.246	0.863
316	1	171069	171069	42.028	255	0.239	0.864
317	1	171443	171443	42.119	255	0.231	0.864
318	1	171414	171414	42.112	255	0.238	0.867
319	1	171973	171973	42.250	255	0.253	0.871
320	1	172292	172292	42.328	255	0.248	0.871
321	1	172167	172167	42.297	255	0.244	0.870
322	1	172467	172467	42.371	255	0.223	0.865
323	1	171743	171743	42.193	255	0.239	0.870
324	1	171335	171335	42.093	255	0.230	0.867
325	1	171906	171906	42.233	255	0.232	0.865
326	1	171651	171651	42.171	255	0.242	0.869
327	1	171477	171477	42.128	255	0.234	0.867
328	1	171624	171624	42.164	255	0.237	0.867
329	1	171557	171557	42.147	255	0.232	0.864
330	1	171889	171889	42.229	255	0.258	0.875
331	1	171688	171688	42.180	255	0.254	0.880
